Restavracija,Naslov,Cena bona,URL,Dostava,Ocena
AL Pachino,"Gosposvetska cesta 87, Maribor","2,79",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=ZU78WARFE8GYVDEPJ7AGMC5BQ2&feature=0,Ne,0
Astoria City Cusine,"Slovenska ulica 2, Maribor","3,47",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=ERGPN9FPFUD29RFVQ2D4D7KQY2&feature=0,Ne,0
Bowling center Strike,"Špelina ulica 17a, Maribor","2,87",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=RT48BS8UHK4S6PJS3STE2JK86A&feature=0,Ne,0
Bruc bar,"Razlagova 9, Maribor","1,50",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=9U4R2KRM43R6XNHLH5KCFFHYHQ&feature=0,Ne,0
Da noi fast food,"Ulica Eve Lovše 1, Maribor","0,50",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=KM8R8YBBFGETM4BUBBZ8JXCV7S&feature=0,Ne,0
Eat smart,"Strossmayerjeva 13, Maribor","0,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=XL4HEEX4W4R8VPSGKDN6RSQVCA&feature=0,Ne,0
Fresh 4 life,"Trg Borisa Kidriča 2, Maribor","0,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=J7356DE7XRWV4S3G2LB6AXNRS3&feature=0,Ne,0
"Galerija, Urška Kocbek s.p.","Gregorčičeva ulica 19, Maribor","2,67",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=VVZ69BCNG448CDMLHESWHYLRJS&feature=0,Ne,0
Gurmanski hram,"Zagrebška cesta 92, Maribor","2,07",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=6AKST9L2VQNLQR6UUBE53W5F8W&feature=0,Da,0
HITRI GONZALES,"Na Poljanah 18, Maribor","3,90",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=V4WNAETFZP3XHCFUUFEVQZPQPS&feature=0,Ne,0
Kanape,"Gosposvetska cesta 15, Maribor","0,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=A3GVLGELFCPTGY9UECMW94CA2W&feature=0,Ne,0
Kavarna MM Panda,"Partizanska cesta 3, Maribor","2,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=2BNX7X526P26F6UKJ7L5VKSHUZ&feature=0,Ne,0
Kavarna Stil Burger,"Koroška cesta 59, Maribor","1,17",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=3JS68SBS3TNNV5JYNMBLCG2JJX&feature=0,Ne,0
LEON GOOD FOOD & MOOD,"Ulica Vita Kraigherja 3, Maribor","3,90",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=45XXXQURZ5WC3RBC4AYHRNSPU2&feature=0,Ne,0
Lunch box,"Gosposvetska cesta 19, Maribor","0,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=HNC2PZ24NXNQLARMNH45L4RF5S&feature=0,Ne,0
Mango Snacks,"Turnerjeva ulica 17, Maribor","0,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=UCQPFEGEJZEKS48LP2MYMT8BPA&feature=0,Ne,0
Okrepčevalnica MM PANDA,"Koroška cesta 9, Maribor","2,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=VU22LCF8E55DQD3JNZKKXHX4GQ&feature=0,Ne,0
Okrepčevalnica Pikapolonica,"Gosposvetska cesta 15, Maribor","2,00",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=F2RY3MAZQ5FLJEU4X2F6V2UGBQ&feature=0,Ne,0
Okrepčevalnica Pivnica Alf,"Koroška cesta 5, Maribor","2,80",https://www.studentska-prehrana.si/Pages/RestaurantInfo.aspx?e_restaurant=VBMFLYCJYAV7E4JXKJA38R3E3Z&feature=0,Da,0
